# trial_number trial_accuracy best_so_far_accuracy
0 0.858400 0.858400
1 0.825600 0.858400
2 0.824640 0.858400
3 0.839640 0.858400
4 0.849520 0.858400
5 0.847720 0.858400
6 0.848680 0.858400
7 0.834200 0.858400
8 0.825200 0.858400
9 0.815080 0.858400
10 0.855520 0.858400
11 0.841160 0.858400
12 0.849800 0.858400
13 0.814600 0.858400
14 0.836720 0.858400
15 0.854760 0.858400
16 0.850440 0.858400
17 0.863840 0.863840
18 0.837560 0.863840
19 0.825880 0.863840
20 0.842840 0.863840
21 0.802720 0.863840
22 0.852760 0.863840
23 0.829880 0.863840
24 0.845360 0.863840
25 0.848600 0.863840
26 0.861440 0.863840
27 0.837120 0.863840
28 0.808760 0.863840
29 0.852600 0.863840
30 0.823000 0.863840
31 0.855800 0.863840
32 0.831600 0.863840
33 0.834000 0.863840
34 0.857000 0.863840
35 0.863680 0.863840
36 0.846280 0.863840
37 0.852720 0.863840
38 0.859000 0.863840
39 0.861880 0.863840
40 0.859000 0.863840
41 0.846280 0.863840
42 0.863120 0.863840
43 0.856760 0.863840
44 0.856160 0.863840
45 0.858560 0.863840
46 0.859840 0.863840
47 0.838840 0.863840
48 0.832240 0.863840
49 0.862280 0.863840
50 0.853600 0.863840
51 0.824240 0.863840
52 0.859600 0.863840
53 0.836360 0.863840
54 0.843840 0.863840
55 0.844680 0.863840
56 0.843560 0.863840
57 0.841640 0.863840
58 0.829400 0.863840
59 0.828920 0.863840
60 0.851240 0.863840
61 0.856600 0.863840
62 0.826280 0.863840
63 0.852680 0.863840
64 0.866840 0.866840
65 0.864360 0.866840
66 0.834440 0.866840
67 0.864640 0.866840
68 0.847880 0.866840
69 0.844520 0.866840
70 0.792560 0.866840
71 0.800240 0.866840
72 0.853000 0.866840
73 0.858720 0.866840
74 0.805320 0.866840
75 0.856640 0.866840
76 0.858480 0.866840
77 0.861080 0.866840
78 0.860720 0.866840
79 0.858680 0.866840
80 0.844400 0.866840
81 0.869680 0.869680
82 0.850080 0.869680
83 0.842480 0.869680
84 0.852920 0.869680
85 0.861400 0.869680
86 0.830960 0.869680
87 0.838720 0.869680
88 0.837680 0.869680
89 0.831720 0.869680
90 0.845520 0.869680
91 0.820400 0.869680
92 0.854320 0.869680
93 0.856760 0.869680
94 0.831880 0.869680
95 0.843120 0.869680
96 0.846160 0.869680
97 0.807760 0.869680
98 0.856960 0.869680
99 0.846760 0.869680
