# trial_number trial_accuracy best_so_far_accuracy
0 0.854120 0.854120
1 0.827280 0.854120
2 0.853600 0.854120
3 0.823440 0.854120
4 0.860280 0.860280
5 0.841800 0.860280
6 0.850400 0.860280
7 0.837120 0.860280
8 0.836560 0.860280
9 0.851400 0.860280
10 0.853480 0.860280
11 0.861880 0.861880
12 0.855640 0.861880
13 0.856760 0.861880
14 0.862080 0.862080
15 0.857040 0.862080
16 0.856000 0.862080
17 0.861080 0.862080
18 0.867280 0.867280
19 0.864200 0.867280
20 0.867280 0.867280
21 0.867280 0.867280
22 0.867280 0.867280
23 0.867280 0.867280
24 0.867280 0.867280
25 0.861520 0.867280
26 0.867280 0.867280
27 0.861240 0.867280
28 0.867280 0.867280
29 0.849640 0.867280
30 0.862920 0.867280
31 0.867280 0.867280
32 0.867280 0.867280
33 0.867280 0.867280
34 0.862480 0.867280
35 0.867280 0.867280
36 0.860560 0.867280
37 0.839080 0.867280
38 0.862200 0.867280
39 0.863840 0.867280
40 0.856320 0.867280
41 0.867280 0.867280
42 0.867280 0.867280
43 0.867280 0.867280
44 0.847080 0.867280
45 0.860600 0.867280
46 0.865520 0.867280
47 0.852960 0.867280
48 0.841360 0.867280
49 0.866920 0.867280
50 0.862800 0.867280
51 0.867280 0.867280
52 0.867280 0.867280
53 0.867280 0.867280
54 0.853480 0.867280
55 0.867320 0.867320
56 0.862240 0.867320
57 0.858960 0.867320
58 0.846000 0.867320
59 0.841480 0.867320
60 0.863760 0.867320
61 0.867280 0.867320
62 0.867280 0.867320
63 0.867280 0.867320
64 0.867320 0.867320
65 0.867320 0.867320
66 0.867320 0.867320
67 0.868480 0.868480
68 0.868480 0.868480
69 0.862120 0.868480
70 0.863720 0.868480
71 0.868480 0.868480
72 0.868480 0.868480
73 0.868480 0.868480
74 0.868480 0.868480
75 0.868480 0.868480
76 0.864080 0.868480
77 0.857760 0.868480
78 0.868480 0.868480
79 0.837000 0.868480
80 0.868480 0.868480
81 0.868480 0.868480
82 0.868480 0.868480
83 0.868480 0.868480
84 0.868480 0.868480
85 0.857320 0.868480
86 0.868480 0.868480
87 0.858400 0.868480
88 0.868480 0.868480
89 0.857560 0.868480
90 0.857320 0.868480
91 0.868480 0.868480
92 0.868480 0.868480
93 0.868480 0.868480
94 0.868480 0.868480
95 0.868480 0.868480
96 0.837000 0.868480
97 0.868480 0.868480
98 0.868480 0.868480
99 0.861480 0.868480
100 0.858400 0.868480
101 0.868480 0.868480
102 0.868480 0.868480
103 0.857320 0.868480
104 0.868480 0.868480
105 0.868480 0.868480
106 0.868480 0.868480
107 0.864080 0.868480
108 0.856640 0.868480
109 0.868480 0.868480
110 0.838880 0.868480
111 0.868480 0.868480
112 0.868480 0.868480
113 0.868480 0.868480
114 0.868480 0.868480
115 0.868480 0.868480
116 0.868480 0.868480
117 0.868480 0.868480
118 0.868480 0.868480
119 0.858400 0.868480
120 0.868480 0.868480
121 0.868480 0.868480
122 0.868480 0.868480
123 0.868480 0.868480
124 0.868480 0.868480
125 0.868480 0.868480
126 0.864080 0.868480
127 0.856640 0.868480
128 0.868480 0.868480
129 0.837000 0.868480
130 0.861480 0.868480
131 0.868480 0.868480
132 0.868480 0.868480
133 0.868480 0.868480
134 0.868480 0.868480
135 0.868480 0.868480
136 0.868480 0.868480
137 0.868480 0.868480
138 0.868480 0.868480
139 0.858400 0.868480
140 0.868480 0.868480
141 0.868480 0.868480
142 0.868480 0.868480
143 0.868480 0.868480
144 0.868480 0.868480
145 0.868480 0.868480
146 0.868480 0.868480
147 0.860120 0.868480
148 0.857760 0.868480
149 0.868480 0.868480
